,ACHADO,TIPO_ACHADO
9871,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5210,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essencais à integridade da obra.",Outras irregularidades na execução do contrato
22325,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
22574,Publicação intempestiva do extrato do contrato na imprensa oficial,Outras irregularidades na execução do contrato
19290,Falta de parcelamento do objeto que por sua natureza deveria ter sido licitado separadamente,Irregularidades na elaboração do ato convocatório
13121,Orçamento em desconformidade com as disposições da Lei de Diretrizes Orçamentárias,Falha na composição dos custos expressos na planilha orçamentária
16691,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
9144,Publicação intempestiva do requerimento da licença ambiental pelo empreendedor.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
7138,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
18596,Utilização indevida de Sistema de Registro de Preços para licitar obras ou projetos de engenharia.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
22023,Ausência de nova análise da viabilidade econômica do empreendimento quando da instauração do procedimento licitatório para implantar a LT Rio Branco  Feijó,Ausência de estudos capazes de comprovar a viabilidade do projeto
8894,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
11020,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5715,Projeto básico/executivo deficiente ou inexistente - Ausência de ART do responsável pela execução da obra.,Outras irregularidades na execução do contrato
15643,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
19858,Projeto executivo deficiente,"Projeto inexistente, deficiente ou desatualizado"
17389,Orçamento em desconformidade com as disposições da Lei de Diretrizes Orçamentárias,Falha na composição dos custos expressos na planilha orçamentária
7203,Sobrepreço decorrente de jogo de planilha.,Sobrepreço
19636,Prejuízo à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
17028,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
19374,"Eventual existência de outros fornecedores do objeto sob análise, questionando-se, assim, a adoção de inexigibilidade, cujo extrato foi publicado no Diário Oficial da União (item 3.1.12 do relatório de acompanhamento)",Restrição à competitividade do certame
7021,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
21188,"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
19014,Inclusão de parcela referente ao IRPJ e CSLL no cálculo do LDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
10725,Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
18125,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5604,"Não há interesse por parte da administração em dar continuidade à obra paralisada, mas há previsão de iniciar outra obra semelhante.",Atraso ou paralisação da obra por ação ou omissão do gestor
9618,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
18652,Infrações contra a legislação orçamentária-financeira,Gestão temerária
19867,Ausência ou inadequação de providências para retomar obra paralisada.,Atraso ou paralisação da obra por ação ou omissão do gestor
12329,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
19565,Orçamentos do Edital e do Contrato inadequados.,Falha na composição dos custos expressos na planilha orçamentária
5625,Previsão no edital/contrato de critério de medição incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
16569,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
12738,Incompatibilidade entre o que foi efetivamente realizado e as especificações ajustadas do Plano de trabalho,Irregularidades na execução do convênio
11780,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
5227,"Execução orçamentária irregular - Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
20998,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
18248,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
12601,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
7059,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
18590,Fuga à licitação por meio de inclusão de objeto estranho ao licitado.,Contratação direta indevida ou não justificada
17264,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
8251,Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
22661,"Falta de orçamento detalhado que expresse a composição dos custos unitários, não apuração formal dos quantitativos dos serviços contratados, cláusula restritiva no Edital, sem justificativa no processo para o aumento de preços em relação ao contrato anterior.",Restrição à competitividade do certame
17911,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
6928,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
9857,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
12422,Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
9469,Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
8721,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
19043,Edital em desacordo com os preceitos da Lei 8.666/93,Falha na composição dos custos expressos na planilha orçamentária
22621,Não utilização do mínimo de 30% dos recursos repassados pelo FNDE na aquisição de gêneros alimentícios da Agricultura Familiar (Camocim/CE),Descumprimento de determinação do TCU
6642,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
21290,Paralisação indeterminada da obra,Atraso ou paralisação da obra por ação ou omissão do gestor
7070,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
19638,Descumprimento do Percentual de Conteúdo Local para a FPSO Búzios 5,Boas práticas em licitação
6970,Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
17244,Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
15035,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
14580,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
18370,Ausência de  informações no Siconv.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
8170,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
5847,Projeto básico/executivo deficiente ou inexistente - Orçamento do Edital / Contrato / Aditivo Incompleto ou Inadequado.,Falha na composição dos custos expressos na planilha orçamentária
14245,Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
8623,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
11356,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
9042,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
12471,Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
13254,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
19048,Perda financeira em razão do desenho do fluxo financeiro utilizado para remunerar as organizações sociais,Liquidação e/ou pagamento irregular da despesa
19236,Ocorrência de atrasos na execução do cronograma do contrato e inexistência de processo de responsabilização,Descumprimento do cronograma físico-financeiro do objeto
18036,Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
22300,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
14785,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
7498,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
19574,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
18630,Execução contratual deficiente,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
15575,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5239,Modalidade indevida de licitação - Modalidade de Licitação Inadequada.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
18765,UNA - A.7 - Desvio de finalidade no uso dos veículos destinados ao transporte escolar.,Outras irregularidades na execução do contrato
18408,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
9198,Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
17847,Orçamento em desconformidade com as disposições da Lei de Diretrizes Orçamentárias,Falha na composição dos custos expressos na planilha orçamentária
14724,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
17108,Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
8991,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
11245,Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
5644,Superfaturamento - Superfaturamento decorrente de aumento inadequado de quantitativos.,Superfaturamento
11114,Inviabilidade econômico-financeira decorrente de alterações do custo total do empreendimento.,Inviabilidade do projeto
10558,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
21615,Fiscalização do convênio insatisfatória,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
20904,Descompasso entre a execução física e a financeira,Irregularidades na execução do convênio
19963,Deficiência no controle de estoque de medicamentos. (Marituba).,Gestão temerária
7276,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
16460,Cronograma de desembolso (físico-financeiro) incompatível com a execução física dos serviços.,Descumprimento do cronograma físico-financeiro do objeto
18592,"Desvio de objeto na execução do convênio (ou instrumento congênere), importando  transferência de recursos de uma categoria de programação para outra.",Irregularidades na execução do convênio
17959,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
5999,Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
8827,Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
18227,Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
9621,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
18764,UNA - A.6 - Falta de controle na prestação dos serviços do transporte escolar.,Outras irregularidades na execução do contrato
18146,"Inadequação no recebimento, estocagem ou guarda de equipamentos e materiais.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
9742,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
16793,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
7252,Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
8186,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
5681,Demais falhas na execução do convênio,Irregularidades na execução do convênio
19843,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
10588,Ausência ou inadequação das Prestações de Contas.,Ausência ou inadequação das prestações de contas do convênio
11426,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
22534,Projeto executivo deficiente,"Projeto inexistente, deficiente ou desatualizado"
13606,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
7795,Utilização de equipamentos incompatíveis com as especificações técnicas dos serviços contratados.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
22639,Execução e pagamento do Contrato 1/2013 após o encerramento da vigência,Outras irregularidades na execução do contrato
5888,Irregularidade grave na execução do convênio - Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
8902,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
5858,Irregularidade grave na execução do convênio - Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
15736,Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
13031,Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
20045,Gestão temerária de empreendimento.,Gestão temerária
9707,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
8377,Fiscalização deficiente ou omissa das obras executadas com recursos federais repassados através de transferências voluntárias ao Município.,Fiscalização contratual inexistente ou deficiente
10876,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
15429,Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
13412,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
10267,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
15288,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
12326,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
21610,Irregularidades na contratação de agência de viagens.,Outras irregularidades na execução do contrato
12129,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
5571,Irregularidade grave na execução do convênio - Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
22646,Aprovação de TAC em desconformidade com o ordenamento jurídico e com a jurisprudência do TCU,Contratação direta indevida ou não justificada
7137,Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
21891,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
6630,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
20014,Deficiência na publicidade de procedimento licitatório.,Restrição à competitividade do certame
22820,Liquidação e pagamento irregular das despesas.,Liquidação e/ou pagamento irregular da despesa
18327,Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
8106,Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
8851,Incompatibilidade entre o que foi efetivamente realizado e as especificações ajustadas do Plano de trabalho,Irregularidades na execução do convênio
14562,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
6062,Projeto básico/executivo deficiente ou inexistente - Projeto executivo sem aprovação pela autoridade competente,Ausência de aprovação do projeto pela autoridade competente
7505,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
10476,Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
18211,Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
7048,Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
5767,Execução orçamentária irregular - Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
10095,Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
16758,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
15653,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
21406,BELMONTE - A.11.2 - Embarcações não adequadas ao transporte escolar ou sem condições gerais de navegabilidade.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
17093,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
17613,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
22027,ACHADO 2 - Realização de licitação para registro de preços e assinatura contratual sem a quantificação dos bens e serviços a serem adquiridos.,Falha na composição dos custos expressos na planilha orçamentária
10783,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
7175,Licitação sem projeto básico ou com projeto básico sem aprovação pela autoridade competente.,"Projeto inexistente, deficiente ou desatualizado"
14101,Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
18924,Ausência de transparência nas Fundações de Apoio.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
15451,"Inobservância das normas legais, regulamentares e contratuais relativas à responsabilidade das empresas projetistas, supervisoras e construtoras pela qualidade das obras, em especial quanto à reparação de defeitos ou à devolução de valores pagos.",Outras irregularidades na execução do contrato
8952,Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
20243,Utilização de atestado emitido pela própria licitante,Irregularidades na habilitação e qualificação da licitante
11195,Impropriedades na execução do convênio,Irregularidades na execução do convênio
14473,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
19004,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
19989,"Sobrepreço no item orçamentário pavimentação em paralelepípedo, presente nos planos de trabalho aprovados pelos Concedentes e nos correspondentes contratos celebrados com vistas à execução dos objetos de todas as transferências voluntárias auditadas (item de maior materialidade), o qual foi decorrente da adoção do Sinapi com preço de insumo superior ao do mercado local/regional CONTINUAÇÃO 4",Falha na composição dos custos expressos na planilha orçamentária
6772,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
12285,Obra iniciada sem Licença de Instalação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
17302,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
17954,Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
19909,"Ausência de instrumentos governamentais de orientação estratégica, previstos em lei, para o desenvolvimento do desporto e para a aplicação de recursos públicos no setor.","Projeto inexistente, deficiente ou desatualizado"
14510,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
6930,"Perda potencial ou efetiva de serviços realizados, em face da não execução concomitante de serviços essenciais à integridade da obra.",Outras irregularidades na execução do contrato
5988,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
12295,Existência de estudo de viabilidade técnica e econômico-financeira desfavorável à implantação do empreendimento.,Inviabilidade do projeto
7154,Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
19837,Captação e gerenciamento de recursos por meio de fundos não vinculados a projetos da Ufpel,Gestão temerária
22223,Sobrepreço decorrente de preços excessivos frente ao mercado e duplicidade,Sobrepreço
17445,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
5743,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
14999,Invasão de faixa de domínio.,Ausência de condições adequadas de segurança das obras/rodovias
20217,Cronograma de desembolso (físico-financeiro) incompatível com a execução física dos serviços.,Descumprimento do cronograma físico-financeiro do objeto
18251,Gestão temerária de empreendimento.,Gestão temerária
14856,"Inobservância das normas legais, regulamentares e contratuais relativas à responsabilidade das empresas projetistas, supervisoras e construtoras pela qualidade das obras, em especial quanto à reparação de defeitos ou à devolução de valores pagos.",Outras irregularidades na execução do contrato
7112,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
22715,Superfaturamento por medição e pagamento de serviços desnecessários - Substituição de subleito,Liquidação e/ou pagamento irregular da despesa
5204,Irregularidade graves concernentes ao aspecto ambiental - Obra em andamento com Licença Prévia e/ou de Instalação vencida(s).,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
19529,Superfaturamento quantitativo (quantidade entregue/realizada inferior à quantidade contratada). (Marituba).,Liquidação e/ou pagamento irregular da despesa
7366,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
21081,A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
18050,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
6766,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
11532,Utilização de equipamentos incompatíveis com as especificações técnicas dos serviços contratados.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
5631,Restrição ao caráter competitivo da licitação - Inexistência de publicação do aviso de edital ou publicação do aviso do edital sem respeitar o prazo mínimo previsto na Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
23314,Estimativa do custo total de investimento deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
18668,"Transferências de recursos financeiros  à empresa com indício de ser ""fantasma""",Liquidação e/ou pagamento irregular da despesa
13042,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
6230,"Acréscimos ao valor contratual superiores ao limite legal - Acréscimos e/ou supressões em percentual superior ao permitido pela Lei 8.666/93, art. 65, § 1º, conforme Acórdão 1.428/2003-TCU-Plenário e 2134/2006-TCU-Plenário.","Aditivos irregulares, injustificados ou não celebrados"
15792,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
15095,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
6962,Ausência de ART do projeto básico.,Ausência de ART do projeto
6167,Sobrepreço - Sobrepreço decorrente de inclusão inadequada de novos serviços.,Sobrepreço
13704,Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
13120,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
5906,"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
21767,Ausência de parcelamento do objeto licitado.,Irregularidades na elaboração do ato convocatório
15351,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
6168,Demais Irregularidades na Administração do Contrato - Inexistência de Termo de Recebimento Definitivo do Objeto Contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
19922,Ausência de controle da qualidade dos materiais empregados na obra.,Fiscalização contratual inexistente ou deficiente
7370,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
19177,Falhas nos procedimentos de dispensa de licitação ,Irregularidades na condução do procedimento licitatório
16387,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
13706,Início de investimento com duração superior a um ano sem constar no Plano Plurianual.,Dotação orçamentária incompatível com a execução do objeto
22161,Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
7700,"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
6043,Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
8907,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
11056,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
21416,Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
22759,"Aceite de projeto executivo parcial, 76,79%, sem a equivalente redução do valor contratual",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
20579,Desgaste prematuro da pavimentação executada,Outras irregularidades na execução do contrato
16392,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
17019,Julgamento irregular de recursos interpostos durante a licitação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
14099,Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
21087,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
8430,Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
21154,Disponibilidade financeira insuficiente para a execução da obra no ano.,Dotação orçamentária incompatível com a execução do objeto
23032,Estudos de estabilidade baseados em amostragem não conforme ao descrito no normativo ABNT NBR 7680:2007,Gestão temerária
9972,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
18041,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
18121,"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
6002,Execução orçamentária irregular - Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
10035,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
8097,Falta de publicidade devida à licença ambiental.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
16627,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
20577,Achado A.24. Contrato C1/12/022: Contratação por inexigibilidade de licitação sem demonstração da inviabilidade de competição pela área técnica responsável.,Contratação direta indevida ou não justificada
23054,Ausência ou inadequação de providências para retomar obra paralisada.,Atraso ou paralisação da obra por ação ou omissão do gestor
5711,As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
16694,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
13438,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
5680,Demais falhas na execução do convênio,Irregularidades na execução do convênio
15333,Gestão temerária de empreendimento.,Gestão temerária
20581,Irregularidades na execução do programa de transporte escolar.,Outras irregularidades na execução do contrato
17969,Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
18604,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
21011,"Não comprovação da regularidade fiscal e das qualificações técnicas, econômica e financeira de empresa pré-contratada.",Contratação direta indevida ou não justificada
22832,"Formalização de termo aditivo sem manutenção do desconto da proposta original, determinado pelo art. 14 do Decreto 7.983/2013","Aditivos irregulares, injustificados ou não celebrados"
