ACHADO,TIPO_ACHADO
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
Previsão no edital/contrato de critério de medição incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
A obra paralisada está sendo deteriorada por intempéries.,Atraso ou paralisação da obra por ação ou omissão do gestor
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Critério de medição apresenta desproporcionalidade entre os pesos das etapas referentes à superestrutura dos vãos navegáveis da ponte.,Descumprimento do cronograma físico-financeiro do objeto
Falhas da fiscalização/supervisão - Serviços executados em desacordo com o previsto em projeto,Fiscalização contratual inexistente ou deficiente
Descrição do PT presente no Edital / Contrato incompatível com aquela constante nas leis orçamentárias.,Dotação orçamentária incompatível com a execução do objeto
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Termo aditivo assinado após o término da vigência do contrato.,"Aditivos irregulares, injustificados ou não celebrados"
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"1 - Se os entes federados estão aplicando as novas regras contábeis definidas pelo Órgão Central do Sistema de Contabilidade;1, 2, 3, 5, 6, 7, 8 e 9 - Se há recebimento de transferências voluntárias sem amparo na legislação. ",Irregularidades na fase de proposição
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Planejamento deficitário do cardápio da merenda escolar (Camocim/CE),Gestão temerária
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
As condicionantes da Licença de Instalação não estão sendo atendidas.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Achado A.16. Contrato C1/03/004: Alteração contratual sem manifestações técnicas necessárias.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de ART do projeto básico.,Ausência de ART do projeto
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
"Ausência, insuficiência ou previsão ilimitada de recursos orçamentários para a execução da obra no ano.",Dotação orçamentária incompatível com a execução do objeto
Descompasso entre a execução física e a financeira de contrato,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Ausência de licenciamento ambiental específico,Outras irregularidades na execução do contrato
"Sobrepreço no item orçamentário pavimentação em paralelepípedo, presente nos planos de trabalho aprovados pelos Concedentes e nos correspondentes contratos celebrados com vistas à execução dos objetos de todas as transferências voluntárias auditadas (item de maior materialidade), o qual foi decorrente da adoção do Sinapi com preço de insumo superior ao do mercado local/regional CONTINUAÇÃO 3.",Falha na composição dos custos expressos na planilha orçamentária
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Risco das águas do Pisf serem contaminadas pelo lançamento de esgoto,Gestão temerária
A.18 - Irregularidades nas contratações do transporte escolar.,Subcontratação ou subrrogação irregular
Obras realizadas sem a devida desapropriação dos terrenos (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
Indisponibilidade de recursos para execução da obra e para colocar o empreendimento em operação,Inviabilidade do projeto
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Superfaturamento decorrente de preços excessivos frente ao mercado,Superfaturamento
"Celebração de contratos e realização de processos licitatórios com base em planilhas orçamentárias, cujos quantitativos eram inadequados.","Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de preços diferentes para o mesmo serviço.,Falha na composição dos custos expressos na planilha orçamentária
Irregularidade grave na execução do convênio - Ausência de cláusula(s) essenciais no termo de convênio celebrado.,Irregularidades na formalização do convênio
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
"Parcelamento inadequado, gerando restrição à competitividade ou prejuízo à Administração por perda de economia de escala.",Restrição à competitividade do certame
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Indícios de conluio e direcionamento no certame licitatório,Irregularidades na condução do procedimento licitatório
Prorrogação injustificada de prazo contratual.,"Aditivos irregulares, injustificados ou não celebrados"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Critério de julgamento inadequado em licitação regida pelo RDC,Irregularidades na condução do procedimento licitatório
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Falhas nos procedimentos de dispensa de licitação ,Irregularidades na condução do procedimento licitatório
Falta de medidas necessárias para a adequada tramitação dos processos de titulação de territórios quilombolas.,Gestão temerária
Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de inclusão inadequada de novos serviços.,Superfaturamento
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
O tipo de intervenção contratado é insuficiente para a manutenção da rodovia em boas condições.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico inadequado,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Adiantamento de pagamento sem a apresentação das garantias contratuais.,Garantia contratual inexistente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Superfaturamento quantitativo (quantidade entregue/realizada inferior à quantidade contratada). (Marituba).,Liquidação e/ou pagamento irregular da despesa
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Indícios de simulação de fornecimento de produtos à Administração Pública,Outras irregularidades na execução do contrato
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Controle deficiente de Uso das Patrulhas Mecanizadas,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
"Acréscimos ao valor contratual superiores ao limite legal - Acréscimos e/ou supressões em percentual superior ao permitido pela Lei 8.666/93, art. 65, § 1º, conforme Acórdão 1.428/2003-TCU-Plenário e 2134/2006-TCU-Plenário.","Aditivos irregulares, injustificados ou não celebrados"
Inexistência de Termo de Recebimento Definitivo do objeto contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
"Atraso injustificado no início da elaboração do projeto executivo e da execução das obras civis, ambas as atividades previstas no Contrato CTNI 92.2011.0510.00, firmado com o Consórcio Acaraú (INCOMISA, Multiempreendimentos e PROCABLE)",Descumprimento do cronograma físico-financeiro do objeto
Atraso na execução.,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
A.1.4 Não recolhimento do saldo de recursos.,Irregularidades na execução do convênio
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Fiscalização inadequada da obra consubstanciada na existência de pagamentos de serviços não recebidos ou feito a empresas não vinculadas à obra.,Fiscalização contratual inexistente ou deficiente
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Escolha de empresa pré-contratada sem a devida pesquisa de preços.,Contratação direta indevida ou não justificada
"Previsão, na planilha orçamentária, de produção da equipe inferior à constante do Sicro",Falha na composição dos custos expressos na planilha orçamentária
Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
"A Caixa Econômica Federal, responsável pelo acompanhamento das obras, não detectou falhas na execução do objeto.",Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Pagamentos irregulares a 105 servidores (ativos e aposentados) e pensionistas, referentes à FC Judicial em desconformidade com a jurisprudência do TCU, a exemplo do Acórdão 7.297/2014-TCU-2ª Câmara.",Descumprimento de determinação do TCU
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
"Ausência, no edital, de critério de aceitabilidade de preços máximos - Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.",Irregularidades na elaboração do ato convocatório
"Possível superfaturamento do contrato 15/2017, firmado entre a empresa CSC Melo e o DSEI Leste",Sobrepreço
Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Impropriedades na execução do convênio,Irregularidades na execução do convênio
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
UNA - A.10.A - Ausência ou deficiência no controle sobre os serviços de transporte escolar exercido pelo CAC/FUNDEB.,Fiscalização contratual inexistente ou deficiente
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Deficiência na fiscalização/supervisão da obra - Fiscalização e/ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Pré-contrato sem justificativa da escolha da empresa,Contratação direta indevida ou não justificada
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Aceite indevido de obras não concluídas,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
O aditivo ao convênio não foi devidamente justificado.,Irregularidades na formalização do convênio
Pagamento de despesa em desacordo com o previsto no contrato.,Liquidação e/ou pagamento irregular da despesa
"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Movimentação irregular da conta específica do convênio.,Irregularidades na execução do convênio
"Formalização de termo aditivo objetivando o reequilíbrio econômico-financeiro do contrato, fora das hipóteses legais.","Aditivos irregulares, injustificados ou não celebrados"
1) Os recursos não foram depositados em conta específica;,Gestão temerária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Obras realizadas em terrenos não desapropriados (caracterização de esbulho pela Administração Pública).,Processo de desapropriação inexistente ou deficiente
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Aprovação de TAC em desconformidade com o ordenamento jurídico e com a jurisprudência do TCU,Contratação direta indevida ou não justificada
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Ausência de transparência nas Fundações de Apoio.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
O contrato não estabelece com clareza e precisão as condições de sua execução.,Cláusulas essenciais imprecisas ou ausentes
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Contratação direta emergencial indevida,Contratação direta indevida ou não justificada
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
ACHADO 1 - Superfaturamento na atualização e modernização do centro de processamento de dados do Cofen (Contrato 9/2015).,Liquidação e/ou pagamento irregular da despesa
Reajuste indevido de preços unitários. (Barcarena).,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
A obra paralisada está sendo deteriorada por intempéries ou por vandalismo.,Atraso ou paralisação da obra por ação ou omissão do gestor
Perdas econômicas e sociais em face da não execução concomitante de serviços essenciais à funcionalidade da obra.,Ausência de efetividade da obra
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Contratação da obra de dragagem sem a realização de estudos técnicos preliminares ,"Projeto inexistente, deficiente ou desatualizado"
A.7.1 Não utilização do objeto na finalidade do convênio.,Irregularidades na execução do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Elaboração de Planilha Comparativa de Orçamentos com base em apenas dois orçamentos.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Indefinições acerca dos critérios utilizados para acompanhamento dos serviços

",Outras irregularidades na execução do contrato
Ausência de comprovação da origem de preços de itens do orçamento estimado da contratação.,Metodologia inadequada para definição do orçamento do objeto
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
"Parcelamento inadequado, gerando restrição à competitividade ou prejuízo à Administração por perda de economia de escala.",Restrição à competitividade do certame
Duplicidade na contratação/Licitação de serviços,Irregularidades na habilitação e qualificação da licitante
Sobrepreço - Sobrepreço decorrente de aumento inadequado de quantitativos.,Sobrepreço
"Os elementos geométricos da rodovia (raios mínimos de curva, rampas máximas, largura de faixa, superlargura, superelevação) não atendem às exigências normativas.","Projeto inexistente, deficiente ou desatualizado"
Ausência de efetividade das ações promovidas pela Administração para solucionar questões relativas a remoções de interferências e desapropriações,Atraso ou paralisação da obra por ação ou omissão do gestor
"Atendimento parcial às determinações dos itens 1.81., 1.8.2 e 1.8.3 do Acórdão 1.422/2016-P",Irregularidades na execução do convênio
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Descumprimento do item 9.2 do Acórdão 1877/2015 - TCU - Plenário,Descumprimento de determinação do TCU
Ausência de licitação para contratação de projeto executivo.,Contratação direta indevida ou não justificada
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Atraso no cronograma das obras do TPS,Outras irregularidades na execução do contrato
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Atraso na liberação das parcelas dos recursos do contrato de repasse.,Irregularidades na execução do convênio
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Gestão temerária na aprovação da Fase III da Rnest ,Gestão temerária
Implantação do empreendimento sem obtenção de todas as licenças e autorizações emitidas pelos órgãos competentes.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Achado A.4. Existência de deficiências nos sistemas de arquivamento da documentação relativa às licitações e contratos da INB. ACHADO CONSIDERADO INSUBSISTENTE EM VISTA DOS COMENTÁRIOS DO GESTOR.,Outras irregularidades na execução do contrato
Falta de publicidade devida à licença ambiental.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Execução orçamentária irregular - Obra de grande vulto utiliza dotações consignadas em outro crédito orçamentário.,Dotação orçamentária incompatível com a execução do objeto
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Obra iniciada sem Licença de Instalação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Desequilíbrio econômico-financeiro decorrente das revisões tarifárias. ,Descumprimento do cronograma físico-financeiro do objeto
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Demais irregularidades graves na administração do contrato - Prorrogação de prazo injustificada.,"Aditivos irregulares, injustificados ou não celebrados"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de termo aditivo formalizando alterações das condições inicialmente pactuadas.,"Aditivos irregulares, injustificados ou não celebrados"
A.10 - Ausência ou deficiência no controle sobre os serviços de transporte escolar exercido pelo CAC/FUNDEB.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Subcontratação irregular da execução das obras.,Subcontratação ou subrrogação irregular
"Acréscimos ao valor contratual superiores ao limite legal - Acréscimos e/ou supressões em percentual superior ao permitido pela Lei 8.666/93, art. 65, § 1º, conforme Acórdão 1.428/2003-TCU-Plenário e 2134/2006-TCU-Plenário.","Aditivos irregulares, injustificados ou não celebrados"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Descompasso entre a execução dos serviços, a emissão da nota fiscal e a realização dos pagamentos e inobservância à ordem cronológica das datas das exigibilidades nos pagamentos das obrigações contratuais ",Outras irregularidades na execução do contrato
Ausência ou inadequação das Prestações de Contas.,Ausência ou inadequação das prestações de contas do convênio
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Pagamento por serviços não previstos contratualmente.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Existência de obras atrasadas e/ou paralisadas.,Atraso ou paralisação da obra por ação ou omissão do gestor
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Modalidade indevida de licitação.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
UNA - A.17 - Irregularidades nos procedimentos licitatórios/processos de contratação direta do transporte escolar.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Não encaminhamento dos documentos descritos no art. 4º da IN TCU 70/2012.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto executivo sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Projeto básico deficiente e desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Julgamento irregular de recursos interpostos durante a licitação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
Avanço desproporcional das etapas de serviço.,Descumprimento do cronograma físico-financeiro do objeto
Superfaturamento - Superfaturamento decorrente de aumento inadequado de quantitativos.,Superfaturamento
Execução de serviços com qualidade deficiente  Depressões do pavimento,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Ausência de parcelamento do objeto licitado.,Irregularidades na elaboração do ato convocatório
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto executivo em desacordo com anteprojeto e o edital de licitação,Outras irregularidades na execução do contrato
"Acréscimo indevido do percentual relativo ao ICMS , em sede de aquisições de medicamentos em Seabra/BA.",Liquidação e/ou pagamento irregular da despesa
Justificativa incipiente quanto à adoção de dispensa de licitação (itens 3.2.13 e 3.2.14 do relatório de acompanhamento),Restrição à competitividade do certame
Sobrepreço decorrente de BDI excessivo.,Sobrepreço
