ACHADO,TIPO_ACHADO
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Cláusulas do edital/contrato em desconformidade com os preceitos da LDO.,Irregularidades na elaboração do ato convocatório
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Sobrepreço decorrente de alteração da metodologia executiva,Sobrepreço
Gestão temerária de empreendimento.,Gestão temerária
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Medição/ pagamento de serviços não realizados - Pagamentos por serviços não executados.,Superfaturamento
Utilização dos recursos em destinação alheia à manutenção e desenvolvimento do ensino para a educação básica.,Gestão temerária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço - Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Implantação de empreendimento sem realização de estudo de viabilidade técnica e econômico-financeira da obra.,Ausência de estudos capazes de comprovar a viabilidade do projeto
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
"Contratação direta sem processo de dispensa ou inelegibilidade.

",Contratação direta indevida ou não justificada
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Projeto básico/executivo deficiente ou inexistente - Os quantitativos da planilha do projeto básico estão sub ou superavaliados.,"Projeto inexistente, deficiente ou desatualizado"
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Falta de publicidade devida ao contrato/aditivo.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Possíveis falhas na execução do termo de cooperação 12/2013  Funasa-Crea/BA,Irregularidades na execução do convênio
"Inobservância das normas legais, regulamentares e contratuais relativas à responsabilidade das empresas projetistas, supervisoras e construtoras pela qualidade das obras, em especial quanto à reparação de defeitos ou à devolução de valores pagos.",Outras irregularidades na execução do contrato
Ausência de formalização do contrato (contrato verbal).,"Ausência de formalização, publicidade e/ou transparência do contrato"
"Parcelamento inadequado, gerando restrição à competitividade ou prejuízo à Administração por perda de economia de escala.",Restrição à competitividade do certame
Projeto executivo deficiente/desatualizado,"Projeto inexistente, deficiente ou desatualizado"
Duplicidade na contratação/Licitação de serviços,Irregularidades na execução do convênio
"Sobrepreço - Sobrepreço decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Sobrepreço
"Fracionamento irregular do objeto, resultando em fuga ao procedimento licitatório.",Contratação direta indevida ou não justificada
"Exemplar controle de estoque de medicamentos da farmácia da Unidade de Saúde da Família ""Nova Marituba"".",Boas práticas em gestão
A.1.4 Não recolhimento do saldo de recursos.,Irregularidades na execução do convênio
Projeto básico sem aprovação pela autoridade competente.,Ausência de aprovação do projeto pela autoridade competente
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Critério inadequado de habilitação,Irregularidades na habilitação e qualificação da licitante
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Orçamento da licitação superestimado em mais de R$ 58 milhões devido a preços excessivos e a falhas na quantificação de serviços,Falha na composição dos custos expressos na planilha orçamentária
Execução de etapas da obra/ aquisição de equipamentos em desconformidade com o cronograma,Descumprimento do cronograma físico-financeiro do objeto
Pagamento irregular do item administração local,Metodologia inadequada para definição do orçamento do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de publicidade do requerimento da licença ambiental pelo empreendedor.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Liquidação irregular da despesa,Liquidação e/ou pagamento irregular da despesa
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Indícios de conluio entre licitantes.,Direcionamento da licitação ou licitação montada
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Modalidade indevida de licitação.,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
Cobrança exorbitante para aquisição de edital.,Irregularidades na elaboração do ato convocatório
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Permanência de beneficiários consumidores não mais enquadrados no programa.,Irregularidades na execução do convênio
"Não submissão, ao Conselho de Administração, da celebração de acordos extrajudiciais para diferimento e suspensão de pagamentos dos contratos, descumprindo o estatuto social e o normativo de limites de alçada da companhia, ausência de motivação para assinatura dos termos de confissão de dívida e ausência de assinatura de duas testemunhas no corpo do instrumento particular de confissão de dívida  ","Ausência de formalização, publicidade e/ou transparência do contrato"
A.12.1 - Ausência de equipamentos obrigatórios em veículos utilizados no transporte escolar.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Existência de atrasos que podem comprometer o prazo de entrega do empreendimento.,Descumprimento do cronograma físico-financeiro do objeto
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Implantação do empreendimento sem obtenção de todas as licenças e autorizações emitidas pelos órgãos competentes.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
Deficiências no memorial do quantitativo,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização deficiente da execução do convênio.,Ausência ou inadequação das prestações de contas do convênio
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Orçamento do edital inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"A.1.2 Não aplicação dos recursos, enquanto não utilizados, ou aplicação em desacordo com a legislação.",Irregularidades na execução do convênio
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Falta de definição de procedimentos e segregação de funções para o abrandamento do critério de seleção de fornecedores,Irregularidades na condução do procedimento licitatório
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
Anteprojeto deficiente.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Achado A.8. Instrumentos contratuais sem cláusulas necessárias previstas em lei.,Cláusulas essenciais imprecisas ou ausentes
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Exigência de apresentação de amostra e certificados dos licitantes de forma irregular em relação ao pregão 2016.12.09.001 realizado pelo Município de Camocim/CE,Restrição à competitividade do certame
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
"Desvio de objeto na execução do convênio (ou instrumento congênere), importando  transferência de recursos de uma categoria de programação para outra.",Irregularidades na execução do convênio
Fiscalização deficiente,Fiscalização contratual inexistente ou deficiente
"BELMONTE - A.4  Dimensionamento ou planejamento inadequados de rotas, frequências e horários do transporte escolar.",Outras irregularidades na execução do contrato
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Irregularidade graves concernentes ao aspecto ambiental - Obra iniciada sem Licença de Instalação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Inclusão inadequada de itens na composição do BDI.,Falha na composição dos custos expressos na planilha orçamentária
Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Indícios de superfaturamento de despesas,Outras irregularidades na execução do contrato
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Deficiências no projeto executivo elaborado pelo Consórcio contratado,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Ausência de justificativas quanto a não utilização do sistema Hórus do Ministério da Saúde por parte da Secretaria Municipal de Saúde de Barcarena.,Gestão temerária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdenciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Demais irregularidades graves no processo licitatório - Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
"Utilização de materiais, equipamentos ou métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Contratação irregular por dispensa ou inexigibilidade.,Contratação direta indevida ou não justificada
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Imprecisão na definição do quantitativo de postos de trabalho a serem contratados,Cláusulas essenciais imprecisas ou ausentes
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Execução de itens orçamentários em valores substancialmente diferentes do orçamento aprovado sem justificação adequada. ,Fiscalização contratual inexistente ou deficiente
Pagamentos sem a correspondente contraprestação em serviços,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço - Sobrepreço decorrente de aumento inadequado de quantitativos.,Sobrepreço
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente do desequilíbrio econômico-financeiro do contrato,Sobrepreço
"Ausência de controle formal nos procedimentos de recebimento, armazenamento e distribuição de medicamentos",Gestão temerária
Despesas realizadas sem cobertura contratual,Subcontratação ou subrrogação irregular
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
"Retenção /pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no LDI da contratada e/ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Superfaturamento por pagamento indevido de despesas relativas a atraso na execução da obra.,Superfaturamento
Ausência de  informações no Siconv.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Frustração ao caráter competitivo do certame por violação ao princípio da isonomia entre os licitantes.,Restrição à competitividade do certame
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Saídas de medicamentos sem comprovação de destino (Barcarena). ,Gestão temerária
Contratação de empresas de integrantes da Comissão de Licitação e de ex-dirigente da CBH.,Direcionamento da licitação ou licitação montada
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Superfaturamento decorrente da execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Deficiência nos levantamentos que fundamentam a elaboração dos projetos básico/executivo.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo deficiente ou inexistente - Orçamento do Edital / Contrato / Aditivo Incompleto ou Inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
PINDOBAÇU - Pagamento de honorários advocatícios com recursos dos precatórios do Fundef.,Liquidação e/ou pagamento irregular da despesa
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
"Superfaturamento - Superfaturamento decorrente de preços excessivos frente ao mercado (serviços, insumos e encargos).",Superfaturamento
Projeto básico/executivo deficiente ou inexistente - Ausência de ART do projeto básico.,Ausência de ART do projeto
Não comprovação da execução dos serviços contratados.,Liquidação e/ou pagamento irregular da despesa
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Licitação de obras com previsão orçamentária insuficiente.,Dotação orçamentária incompatível com a execução do objeto
Execução orçamentária irregular - Início de investimento com duração superior a um ano sem constar no Plano Plurianual.,Dotação orçamentária incompatível com a execução do objeto
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
"Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Item 3.5.17 do relatório de acompanhamento)

",Restrição à competitividade do certame
O contrato não é escrito em língua portuguesa.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção /pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no LDI da contratada e/ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Empreendimento em funcionamento sem a Licença de Operação.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Frustração ao caráter competitivo do certame por violação ao princípio da isonomia entre os licitantes.,Restrição à competitividade do certame
Conselho de Alimentação Escolar com mandato expirado (Camocim/CE),Gestão temerária
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Duplicidade na contratação/Licitação de serviços,Irregularidades na habilitação e qualificação da licitante
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Inconsistência no processo de seleção do empreendimento,Processo de desapropriação inexistente ou deficiente
"Pagamentos irregulares a 3.936 servidores (ativos e aposentados) e pensionistas, referentes a planos econômicos e horas extras incorporadas, em desconformidade com o Acórdão 2.161/2005-TCU-Plenário e o Acórdão 269/2012-TCU-Plenário e a Súmula-TCU 241.",Descumprimento de determinação do TCU
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Disponibilidade financeira e orçamentária insuficientes para a execução da obra no ano,Dotação orçamentária incompatível com a execução do objeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Sobrepreço decorrente de preços excessivos frente ao mercado,Sobrepreço
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Os desembolsos dos recursos referentes ao convênio não têm conformidade com o Plano de Trabalho correspondente.,Irregularidades na execução do convênio
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Descompasso entre o pagamento de Administração Local e o andamento físico da obra.,Liquidação e/ou pagamento irregular da despesa
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
"Contratação de empresa de fachada, não demonstrando o necessário nexo de causalidade que deve haver entre o repasse dos recursos federais e a realização das obras, presumindo-se, assim, dano ao erário correspondente ao montante repassado.",Liquidação e/ou pagamento irregular da despesa
Obra de grande vulto não constitui projeto orçamentário específico no nível de título.,Dotação orçamentária incompatível com a execução do objeto
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Superfaturamento decorrente de itens pagos em duplicidade.,Superfaturamento
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Grave infração a Lei 4.320/1964,Gestão temerária
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Indefinição quanto ao parcelamento da obra.,Restrição à competitividade do certame
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inexistência de Termo de Recebimento Definitivo do objeto contratado.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Anteprojeto de engenharia com soluções antieconômicas,Sobrepreço
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de adoção indevida de pré-qualificação.,Restrição à competitividade do certame
Adoção de inadequada modalidade de licitação (Marituba).,Restrição à competitividade do certame
"A7.3  Pessoal, equipamentos ou medicamentos pagos com recursos do SUS, em uso em unidades de saúde privadas.",Irregularidades na execução do convênio
Inclusão de parcela referente ao IRPJ e CSLL no cálculo do LDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de licenças ambientais de âmbito estadual e local.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Elevação dos custos contratuais devido à paralisação da execução física da obra,Descumprimento do cronograma físico-financeiro do objeto
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Superfaturamento decorrente de preços excessivos frente ao mercado,Superfaturamento
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Irregularidade grave na execução do convênio - Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
Sobrepreço - Sobrepreço decorrente de jogo de planilha.,Sobrepreço
"Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Item 3.5.14 do relatório de acompanhamento)

",Restrição à competitividade do certame
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Achado A.10. Contrato C1/03/004: Contratação sem fundamentação em projeto básico ou termo de referência.,"Projeto inexistente, deficiente ou desatualizado"
Atraso na entrega de medicamentos,Descumprimento do cronograma físico-financeiro do objeto
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
"Ausência de parcelamento do objeto, embora técnica e economicamente recomendável.",Restrição à competitividade do certame
Inadequação das providências adotadas pela Administração para sanar interferências que possam provocar o atraso da obra.,Atraso ou paralisação da obra por ação ou omissão do gestor
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
As cláusulas presentes no contrato assinado não estão de acordo com aquelas que foram apresentadas na minuta de contrato presente no edital de licitação.,Divergência entre o contrato e o ato convocatório
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Prejuízo à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Execução de serviços sem autorização do órgão competente.,Outras irregularidades na execução do contrato
Sobrepreço decorrente de BDI excessivo.,Sobrepreço
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Ausência de cadastramento de contrato ou convênio no SIASG - Contrato não cadastrado no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Os estudos elaborados pela contratada são insuficientes ,Outras irregularidades na execução do contrato
Exame deficiente realizado pelos relatórios de vistoria do 12º mês de concessão,Fiscalização contratual inexistente ou deficiente
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Retenção/pagamento de tributos (contribuição previdênciária, IR, ISS, etc.) em desacordo com os percentuais previstos no BDI da contratada ou na legislação vigente.",Liquidação e/ou pagamento irregular da despesa
Descumprimento de cláusulas contratuais.,Outras irregularidades na execução do contrato
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Inexecução parcial do objeto pactuado no âmbito do convênio 01.0129.00/2007,Irregularidades na execução do convênio
Falta de definição precisa das condições de reajuste.,Cláusulas essenciais imprecisas ou ausentes
